,word,type,definition
4630,Almond furnace,,"A kind of furnace used in refining, to separate the metal from cinders and other foreign matter."
5202,Amercing,p. pr. & vb. n.,of Amerce
6164,Anglo-Saxonism,n.,"The quality or sentiment of being Anglo-Saxon, or English in its ethnological sense."
20955,Burette,n.,"An apparatus for delivering measured quantities of liquid or for measuring the quantity of liquid or gas received or discharged. It consists essentially of a graduated glass tube, usually furnished with a small aperture and stopcock."
30153,Combated,imp. & p. p.,of Combat
36763,Crow,v. i.,"A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles. It has a harsh, croaking note. See Caw."
41341,Deposit,n.,"To lay down; to place; to put; to let fall or throw down (as sediment); as, a crocodile deposits her eggs in the sand; the waters deposited a rich alluvium."
50029,Eighteenth,a.,Consisting of one of eighteen equal parts or divisions of a thing.
50606,Ellipses,pl. ,of Ellipsis
53104,Epigrammist,n.,An epigrammatist.
57750,Fawned,imp. & p. p.,of Fawn
61087,Follower,n.,A gland. See Illust. of Stuffing box.
63153,Frontate,a.,Alt. of Fron'tated
63611,Fumigated,imp. & p. p.,of Fumigate
63627,Fumosity,n.,The fumes of drink.
63862,Furzen,a.,Furzy; gorsy.
64866,Gathered,imp. & p. p.,of Gather
67183,Goodman,n.,"A familiar appellation of civility, equivalent to ""My friend"", ""Good sir"", ""Mister;"" -- sometimes used ironically."
74650,Humite,n.,"A mineral of a transparent vitreous brown color, found in the ejected masses of Vesuvius. It is a silicate of iron and magnesia, containing fluorine."
77747,Inaurate,a.,Covered with gold; gilded.
82729,Ionic,a.,Of or pertaining to Ionia or the Ionians.
82749,Iracund,a.,Irascible; choleric.
85295,Kidling,n.,A young kid.
86531,Lager,n.,Lager beer.
87373,Latinizing,p. pr. & vb. n.,of Latinize
91756,Luxury,n.,"A free indulgence in costly food, dress, furniture, or anything expensive which gratifies the appetites or tastes."
93727,Marrow,v. t.,"To fill with, or as with, marrow of fat; to glut."
97274,Misform,v. t.,To make in an ill form.
97321,Misincline,v. t.,To cause to have a wrong inclination or tendency; to affect wrongly.
110739,Patrician,a.,"Of, pertaining to, or appropriate to, a person of high birth; noble; not plebeian."
115412,Plane,a.,"A surface, real or imaginary, in which, if any two points are taken, the straight line which joins them lies wholly in that surface; or a surface, any section of which by a like surface is a straight line; a surface without curvature."
116248,Plumb,v. t.,"To supply, as a building, with a system of plumbing."
116509,Pock-broken,a.,"Broken out, or marked, with smallpox; pock-fretten."
127574,Refract,n.,To bend sharply and abruptly back; to break off.
129145,Reprieve,v. t.,"To relieve for a time, or temporarily."
131482,Ringer,n.,"One who, or that which, rings; especially, one who rings chimes on bells."
132032,Roll,v. i.,"To move, as a curved object may, along a surface by rotation without sliding; to revolve upon an axis; to turn over and over; as, a ball or wheel rolls on the earth; a body rolls on an inclined plane."
134503,Sanders,n.,"An old name of sandalwood, now applied only to the red sandalwood. See under Sandalwood."
138729,Sepulchral,a.,"Of or pertaining to burial, to the grave, or to monuments erected to the memory of the dead; as, a sepulchral stone; a sepulchral inscription."
143094,Slide,v. t.,To pass from one note to another with no perceptible cassation of sound.
146361,Spheniscan,n.,Any species of penguin.
146452,Spice,v. t.,"To season with spice, or as with spice; to mix aromatic or pungent substances with; to flavor; to season; as, to spice wine; to spice one's words with wit."
150025,Stoping,n.,The act of excavating in the form of stopes.
152183,Succade,n.,A sweetmeat.
154332,Swifter,v. t.,"To tighten, as slack standing rigging, by bringing the opposite shrouds nearer."
159231,Tilt,n.,"A military exercise on horseback, in which the combatants attacked each other with lances; a tournament."
161427,Transmittible,a.,Capable of being transmitted; transmissible.
162001,Trestle,n.,The frame of a table.
162439,Trimyarian,n.,A lamellibranch which has three muscular scars on each valve.
175652,Zamindary,n.,Alt. of Zamindari
